book,publisher_or_provider,post,edition,usage_request_date
Uma abordagem interdisciplinar das ciências da natureza - Volume 2,Scipione,Eugenia e a raiz histórica da beleza branca,"(V.3, N.6, P.7, 2020)",2020-08-25
COC - Matemática - 1ª série Ensino Médio,P2D EDUCACAO,A Lei de Newcomb-Benford no combate a fraudes,"(V.3, N.10, P.3, 2020)",2021-11-22
Obra Anglo – Ensino Fundamental II – 8º ano,SOMOS Educação,"Divulgação científica, jornalismo científico ou comunicação científica?","(V.2, N.1, P.4, 2019)",2022-02-14
TELÁRIS CIÊNCIAS 9º ANO,Ática,O que é água alcalina?,"(V.1, N.6, P.2, 2018)",2022-04-20
TELÁRIS CIÊNCIAS 9º ANO,Ática,O que (não) é quântica!,"(V.1, N.6, P.5, 2018)",2022-05-10
"Movimento do aprender 7º ano CIÊNCIAS, material didático do SESI",SESI-SP,Todo remédio é uma droga?,"(V.1, N.4, P.7, 2018)",2022-08-30
"Trilhar mais + Itinerários Formativos - Trilhas de aprofundamento, CNT MOD11_001",Soluções Moderna,O que dá cor aos fogos de artifício?,"(V.1, N.2, P.3, 2018)",2022-12-02
"Matéria, Energia e Vida – Ciência da Natureza",Ática,Eugenia e a raiz histórica da beleza branca,"(V.3, N.6, P.7, 2020)",2023-03-08
"Ciências, 5ª edição, 3º ano",Moderna,Por que o céu é azul?,"(V.1, N.2, P.8, 2018)",2023-03-14
Redação Nota Máxima 2º ano,Arco Educação,"Desmistificando os transgênicos na agricultura: vantagens e desvantagens associadas à saúde humana, social e ambiental","(V.5, N.5, P.6, 2022)",2023-12-18
Pitágoras – Ensino Fundamental – 8º ano - Língua Portuguesa,Pitágoras,Quais são os superpoderes dos tardígrados?,"(V.4, N.9, P.1, 2021)",2024-06-15
Biologia(PNDL) - Ensino Médio,Scipione,Eugenia e a raiz histórica da beleza branca,"(V.3, N.6, P.7, 2020)",2024-07-31
Saraiva – Ensino Médio – Projetos Integradores - Ciências da Natureza,Editora Saraiva,O que (não) é quântica!,"(V.1, N.6, P.5, 2018)",2024-09-15
Obra Anglo – Ensino Fundamental II – 8º ano,SOMOS Educação,"Divulgação científica, jornalismo científico ou comunicação científica?","(V.2, N.1, P.4, 2019)",2024-09-30
ASSIM EU APRENDO - 3° ANO,Editora do Brasil,A quantos graus ferve a água?,"(V.2, N.4, P.5, 2019)",2025-03-24
SET Brasil Volume: 9º ano,Moderna,Como você é seduzido pela neurociência,"(V.7, N.5, P.4, 2024)",2025-04-23